,0,1,2,3,4,5,6
0,2022-02-20,286.17,269.53,36.7015,-118.756,25.2653,55.2925
1,2022-02-21,284.71,262.5,36.7015,-118.756,25.2653,55.2925
2,2022-02-22,284.86,261.28,36.7015,-118.756,27.9674,34.4116
3,2022-02-23,284.30,255.84,36.7015,-118.756,27.9674,34.4116
4,2022-02-24,283.70,251.66,36.7015,-118.756,27.9674,34.4116
